20190129 104900;10698.70;10699.15;10690.00;10692.00;20925
20190129 105000;10691.15;10692.75;10690.10;10690.45;9900
20190129 105100;10690.40;10693.20;10688.20;10688.20;13950
20190129 105200;10688.20;10692.45;10685.30;10689.70;9900
20190129 105300;10690.30;10690.90;10686.10;10686.85;56475
20190129 105400;10686.85;10690.15;10685.55;10687.95;8250
20190129 105500;10687.95;10689.40;10687.65;10689.40;13875
20190129 105600;10689.40;10690.60;10688.80;10689.00;6900
20190129 105700;10689.00;10689.65;10687.00;10687.00;12600
20190129 105800;10687.00;10690.80;10686.50;10690.80;12525
20190129 105900;10689.70;10694.35;10689.20;10693.30;11100
20190129 110000;10693.15;10695.95;10691.75;10695.40;10650
20190129 110100;10695.40;10695.60;10691.55;10692.45;9600
20190129 110200;10692.30;10692.85;10690.95;10692.85;7200
20190129 110300;10692.85;10695.50;10692.60;10694.50;10725
20190129 110400;10694.50;10699.00;10693.75;10696.60;9075
20190129 110500;10696.60;10702.10;10696.60;10701.55;5775
20190129 110600;10701.40;10703.00;10700.80;10701.65;12675
20190129 110700;10701.65;10702.20;10699.55;10700.05;5325
20190129 110800;10700.05;10700.40;10700.00;10700.00;10875
20190129 110900;10700.05;10700.85;10698.80;10700.00;13800
20190129 111000;10700.00;10705.35;10699.70;10700.80;14250
20190129 111100;10700.80;10702.60;10700.40;10700.40;7425
20190129 111200;10700.40;10700.40;10695.50;10697.55;13125
20190129 111300;10697.90;10699.20;10695.75;10699.15;13650
20190129 111400;10699.15;10700.00;10695.15;10695.95;5475
20190129 111500;10696.00;10698.35;10694.95;10696.25;15150
20190129 111600;10696.25;10697.95;10695.05;10695.05;13200
20190129 111700;10695.90;10695.90;10693.00;10693.70;6225
20190129 111800;10693.70;10698.00;10693.70;10698.00;7425
20190129 111900;10698.10;10698.10;10694.85;10695.50;5925
20190129 112000;10695.50;10698.85;10693.20;10696.15;66750
20190129 112100;10696.15;10698.00;10696.00;10696.00;7200
20190129 112200;10696.00;10697.80;10695.05;10695.05;5100
20190129 112300;10695.05;10697.00;10693.80;10696.55;5625
20190129 112400;10696.55;10698.45;10694.60;10698.05;11625
20190129 112500;10698.05;10698.05;10693.25;10695.20;6825
20190129 112600;10695.20;10696.05;10692.50;10693.60;6975
20190129 112700;10695.40;10696.60;10693.70;10696.60;4200
20190129 112800;10696.60;10696.60;10695.55;10696.60;4650
20190129 112900;10696.60;10696.60;10693.80;10694.15;10500
20190129 113000;10694.15;10694.75;10691.45;10693.45;5925
20190129 113100;10693.45;10696.35;10692.15;10696.35;8850
20190129 113200;10695.65;10700.85;10695.65;10699.45;13050
20190129 113300;10699.50;10700.85;10698.70;10700.25;5250
20190129 113400;10700.25;10700.25;10698.00;10698.50;4200
20190129 113500;10698.40;10702.00;10698.40;10702.00;31125
20190129 113600;10700.65;10702.05;10700.00;10700.00;4050
20190129 113700;10700.00;10703.85;10700.00;10700.40;4275
20190129 113800;10700.40;10704.75;10700.40;10701.95;5925
20190129 113900;10701.95;10702.00;10699.90;10700.30;14550
20190129 114000;10700.30;10701.45;10699.20;10700.80;5325
20190129 114100;10700.80;10702.30;10699.70;10700.60;1425
20190129 114200;10700.60;10707.60;10700.05;10707.60;6450
20190129 114300;10707.60;10707.60;10703.20;10703.55;3900
20190129 114400;10703.55;10704.70;10701.90;10702.95;10350
20190129 114500;10703.00;10708.00;10703.00;10708.00;12150
20190129 114600;10708.00;10708.75;10703.95;10703.95;8625
20190129 114700;10703.95;10706.35;10703.20;10705.90;5100
20190129 114800;10705.90;10707.60;10703.00;10703.05;10425
20190129 114900;10703.35;10707.85;10703.35;10707.30;6225
20190129 115000;10707.30;10713.95;10703.35;10710.40;8625
20190129 115100;10710.00;10713.45;10708.95;10710.25;18450
20190129 115200;10710.05;10712.45;10709.95;10711.25;4575
20190129 115300;10710.80;10710.80;10707.85;10708.30;6750
20190129 115400;10708.30;10709.90;10705.95;10707.45;71625
20190129 115500;10706.05;10710.50;10706.05;10709.60;5925
20190129 115600;10709.60;10710.15;10708.15;10709.80;4125
20190129 115700;10709.80;10709.80;10707.05;10708.20;3525
20190129 115800;10708.10;10708.10;10705.45;10706.45;4200
20190129 115900;10706.45;10709.00;10705.20;10706.90;5250
20190129 120000;10707.80;10708.20;10706.05;10707.75;6075
20190129 120100;10707.90;10707.90;10703.55;10703.90;4575
20190129 120200;10703.90;10705.55;10703.10;10704.00;6450
20190129 120300;10704.00;10704.00;10700.05;10700.90;5175
20190129 120400;10700.90;10705.40;10700.90;10704.95;17700
20190129 120500;10704.95;10706.00;10702.00;10703.10;4500
20190129 120600;10704.00;10704.80;10700.70;10702.25;7800
20190129 120700;10702.10;10704.60;10702.10;10704.45;9075
20190129 120800;10704.45;10705.90;10703.50;10703.50;9825
20190129 120900;10703.75;10705.35;10702.35;10704.30;5175
20190129 121000;10704.35;10708.85;10704.35;10708.85;6150
20190129 121100;10708.85;10709.10;10706.60;10707.25;14325
20190129 121200;10707.25;10709.70;10705.00;10705.60;8775
20190129 121300;10705.55;10706.10;10704.10;10705.80;8625
20190129 121400;10704.50;10710.35;10704.50;10710.05;82425
20190129 121500;10709.95;10709.95;10708.00;10708.70;3825
20190129 121600;10708.70;10711.70;10708.30;10711.70;7575
20190129 121700;10711.70;10711.70;10709.05;10710.00;10050
20190129 121800;10710.00;10711.95;10708.55;10710.00;6225
20190129 121900;10710.00;10710.50;10707.65;10709.35;10425
20190129 122000;10709.35;10710.05;10708.75;10709.55;9000
20190129 122100;10709.55;10710.00;10707.75;10709.00;2625
20190129 122200;10709.05;10715.55;10709.05;10714.00;9450
20190129 122300;10714.00;10716.75;10714.00;10714.95;6600
20190129 122400;10714.95;10725.30;10712.60;10724.20;24150
20190129 122500;10724.55;10727.25;10717.80;10722.60;17250
20190129 122600;10722.60;10723.75;10718.25;10718.35;7575
20190129 122700;10718.35;10723.00;10718.25;10722.90;4350
20190129 122800;10721.30;10722.90;10717.55;10717.55;5550
20190129 122900;10717.55;10719.25;10715.35;10718.40;7575
20190129 123000;10718.95;10720.80;10716.05;10717.95;201600
20190129 123100;10717.95;10721.55;10716.00;10719.40;14700
20190129 123200;10719.40;10719.40;10708.60;10710.00;15750
20190129 123300;10710.00;10710.70;10709.75;10710.00;16050
20190129 123400;10710.30;10714.05;10710.00;10712.50;5625
20190129 123500;10712.50;10712.50;10702.65;10706.70;4725
20190129 123600;10706.70;10707.10;10702.85;10707.10;7500
20190129 123700;10705.60;10709.50;10705.60;10709.30;11025
20190129 123800;10708.05;10709.25;10705.00;10705.40;8025
20190129 123900;10705.40;10707.05;10700.00;10701.05;8925
20190129 124000;10701.05;10702.15;10694.60;10701.10;20775
20190129 124100;10701.90;10703.10;10696.90;10698.10;10125
20190129 124200;10698.10;10699.00;10693.65;10695.40;8250
20190129 124300;10695.35;10699.10;10694.90;10694.90;19650
20190129 124400;10694.15;10697.50;10694.15;10696.25;13275
20190129 124500;10696.75;10697.60;10693.00;10693.00;22650
20190129 124600;10693.95;10695.10;10692.15;10694.50;24075
20190129 124700;10694.60;10697.35;10693.15;10697.35;22350
20190129 124800;10697.15;10698.60;10691.10;10691.15;12225
20190129 124900;10691.70;10693.50;10686.15;10688.50;12225
20190129 125000;10688.00;10689.65;10680.05;10680.05;72750
20190129 125100;10677.10;10679.25;10670.30;10672.00;42600
20190129 125200;10671.20;10671.20;10667.75;10670.95;26925
20190129 125300;10670.95;10675.40;10670.95;10674.30;14550
20190129 125400;10674.30;10675.95;10666.55;10666.55;9525
20190129 125500;10668.45;10669.60;10662.40;10666.00;15150
20190129 125600;10666.00;10669.95;10665.00;10669.95;10650
20190129 125700;10670.00;10673.30;10669.05;10672.30;13650
20190129 125800;10672.30;10675.55;10670.55;10675.30;7050
20190129 125900;10675.30;10679.00;10674.85;10676.00;8475
20190129 130000;10676.00;10678.45;10675.00;10678.45;10275
20190129 130100;10677.85;10680.00;10674.70;10677.60;16875
20190129 130200;10674.40;10676.30;10674.00;10675.00;3000
20190129 130300;10675.00;10675.00;10672.05;10672.05;3600
20190129 130400;10672.05;10672.05;10669.00;10669.00;5325
20190129 130500;10669.00;10669.65;10666.00;10667.25;6525
20190129 130600;10667.25;10676.50;10667.25;10670.85;20475
20190129 130700;10672.30;10672.30;10664.05;10667.10;21900
20190129 130800;10667.10;10667.10;10658.10;10661.55;22500
20190129 130900;10663.05;10663.10;10657.85;10659.45;12225
20190129 131000;10658.60;10662.15;10652.10;10655.40;27375
20190129 131100;10655.40;10660.00;10655.00;10658.35;9825
20190129 131200;10658.35;10662.20;10654.10;10654.10;10950
20190129 131300;10654.10;10655.25;10651.00;10652.60;11550
20190129 131400;10652.65;10656.90;10651.00;10651.80;5400
20190129 131500;10651.80;10651.80;10644.45;10644.45;35250
20190129 131600;10645.00;10646.55;10640.40;10646.05;21225
20190129 131700;10646.05;10653.05;10645.05;10649.90;9375
20190129 131800;10649.90;10649.95;10646.10;10648.95;13650
20190129 131900;10648.95;10649.95;10646.20;10649.60;6150
20190129 132000;10649.60;10649.60;10637.00;10640.20;11850
20190129 132100;10640.20;10644.55;10640.00;10641.70;6450
20190129 132200;10642.05;10647.60;10642.05;10644.30;6525
20190129 132300;10644.60;10646.00;10642.00;10642.80;7800
20190129 132400;10642.80;10650.10;10642.80;10648.20;49125
20190129 132500;10648.75;10653.30;10648.75;10650.20;16275
20190129 132600;10651.60;10661.10;10650.60;10659.55;15225
20190129 132700;10659.55;10659.55;10652.85;10654.95;7425
20190129 132800;10654.95;10659.60;10653.05;10657.95;9600
20190129 132900;10659.55;10660.45;10654.00;10655.00;6375
20190129 133000;10655.00;10655.00;10650.50;10653.40;5475
20190129 133100;10653.40;10654.90;10646.25;10648.10;6600
20190129 133200;10648.10;10655.20;10645.55;10653.15;5475
20190129 133300;10653.15;10653.90;10648.45;10652.60;4050
20190129 133400;10653.25;10654.55;10650.00;10653.40;4425
20190129 133500;10653.40;10659.45;10653.40;10658.65;5625
20190129 133600;10658.65;10658.65;10655.15;10656.95;8400
20190129 133700;10656.00;10659.95;10656.00;10659.85;6675
20190129 133800;10659.85;10664.40;10659.85;10661.05;11400
20190129 133900;10661.05;10669.50;10661.05;10664.00;10650
20190129 134000;10665.00;10666.00;10661.00;10661.70;3450
20190129 134100;10661.70;10665.10;10658.40;10660.00;9000
20190129 134200;10660.05;10662.10;10657.70;10661.80;14175
20190129 134300;10661.80;10662.75;10654.15;10654.15;5400
20190129 134400;10654.15;10655.40;10650.00;10650.00;6600
20190129 134500;10650.00;10651.70;10647.35;10649.40;11100
20190129 134600;10648.90;10649.00;10644.20;10646.75;25800
20190129 134700;10646.55;10650.65;10645.00;10650.65;26550
20190129 134800;10650.00;10653.05;10648.80;10652.25;20025
20190129 134900;10652.15;10654.70;10648.20;10651.30;10275
20190129 135000;10652.95;10654.60;10646.05;10646.90;20250
20190129 135100;10646.70;10655.20;10644.60;10653.20;12075
20190129 135200;10653.20;10658.15;10653.00;10657.80;11625
20190129 135300;10657.80;10662.00;10657.05;10660.50;19875
20190129 135400;10660.50;10662.50;10658.15;10658.95;55500
20190129 135500;10658.95;10662.05;10653.80;10654.60;8850
20190129 135600;10657.35;10657.75;10653.70;10654.25;5775
20190129 135700;10654.25;10658.40;10653.70;10656.80;7650
20190129 135800;10656.80;10658.45;10653.35;10653.35;6825
20190129 135900;10653.35;10658.00;10653.35;10657.15;35775
20190129 140000;10658.00;10666.10;10658.00;10660.00;11475
20190129 140100;10659.15;10666.20;10659.15;10664.15;6825
20190129 140200;10664.15;10672.00;10664.15;10668.35;18150
20190129 140300;10668.75;10670.00;10662.85;10664.90;5250
20190129 140400;10665.45;10671.30;10665.45;10668.60;8625
20190129 140500;10668.55;10669.50;10665.00;10665.10;8250
20190129 140600;10666.10;10673.85;10665.15;10670.15;9150
20190129 140700;10670.15;10670.35;10658.05;10658.05;15150
20190129 140800;10659.15;10663.40;10655.55;10658.60;12450
20190129 140900;10658.60;10663.20;10656.65;10663.20;5100
20190129 141000;10663.20;10663.20;10659.00;10661.25;5625
20190129 141100;10661.30;10664.65;10657.05;10657.05;12375
20190129 141200;10657.05;10661.20;10655.95;10657.05;7050
20190129 141300;10657.05;10659.00;10656.30;10657.75;7125
20190129 141400;10657.75;10660.90;10653.35;10655.10;13125
20190129 141500;10655.10;10657.85;10647.90;10648.85;20175
20190129 141600;10648.80;10652.20;10647.90;10648.30;17175
20190129 141700;10648.30;10654.00;10648.30;10653.25;7650
20190129 141800;10653.25;10662.80;10653.25;10662.40;20850
20190129 141900;10662.40;10668.10;10661.55;10665.40;9975
20190129 142000;10667.00;10668.10;10661.45;10662.95;16575
20190129 142100;10661.05;10671.05;10661.00;10663.45;11700
20190129 142200;10665.60;10669.80;10664.80;10666.85;6900
20190129 142300;10666.85;10666.90;10657.35;10658.90;10200
20190129 142400;10658.90;10665.25;10658.90;10659.90;8775
20190129 142500;10659.90;10662.00;10656.75;10661.15;11550
20190129 142600;10661.15;10664.05;10656.55;10661.05;10950
20190129 142700;10661.05;10663.40;10657.15;10657.30;3075
20190129 142800;10657.30;10664.70;10657.30;10664.00;389175
20190129 142900;10663.45;10671.45;10663.45;10665.00;16725
20190129 143000;10665.10;10669.75;10664.25;10666.60;21000
20190129 143100;10667.40;10667.40;10663.05;10664.95;6825
20190129 143200;10664.95;10669.15;10664.95;10665.80;6450
20190129 143300;10665.80;10666.80;10661.50;10662.05;14250
20190129 143400;10662.05;10664.90;10660.00;10662.80;44175
20190129 143500;10662.80;10666.00;10660.30;10660.55;43050
20190129 143600;10660.55;10662.05;10651.90;10651.90;11700
20190129 143700;10652.95;10654.95;10650.05;10653.70;12450
20190129 143800;10654.80;10658.80;10652.95;10652.95;9600
20190129 143900;10652.95;10653.85;10644.05;10650.00;36150
20190129 144000;10651.45;10655.25;10650.15;10654.05;6750
20190129 144100;10655.00;10657.85;10646.45;10649.35;25725
20190129 144200;10649.35;10654.70;10649.35;10650.10;16200
20190129 144300;10650.10;10650.90;10644.80;10647.60;12525
20190129 144400;10647.60;10654.05;10647.60;10653.35;48825
20190129 144500;10652.95;10655.75;10651.60;10651.60;19275
20190129 144600;10651.60;10657.75;10651.05;10657.75;9825
20190129 144700;10657.75;10659.05;10654.60;10656.25;27375
20190129 144800;10656.85;10660.05;10655.35;10660.05;58875
20190129 144900;10660.05;10666.50;10660.05;10663.60;29325
20190129 145000;10662.60;10665.95;10659.90;10660.40;8925
20190129 145100;10661.35;10666.40;10660.80;10665.05;91425
20190129 145200;10665.05;10666.65;10663.25;10664.80;56250
20190129 145300;10664.80;10665.00;10658.55;10660.00;7875
20190129 145400;10659.50;10662.60;10659.50;10661.60;38325
20190129 145500;10662.00;10665.65;10662.00;10665.25;27225
20190129 145600;10665.25;10678.45;10664.95;10678.45;23475
20190129 145700;10678.50;10678.50;10671.70;10672.50;11925
20190129 145800;10671.00;10676.50;10670.00;10670.00;6075
20190129 145900;10669.90;10670.45;10665.00;10665.00;8775
20190129 150000;10665.00;10665.80;10660.00;10662.15;16200
20190129 150100;10662.15;10668.40;10662.15;10663.95;8025
20190129 150200;10663.95;10672.10;10663.95;10672.10;12150
20190129 150300;10672.10;10680.60;10670.80;10680.00;38475
20190129 150400;10681.10;10681.10;10673.50;10673.55;27375
20190129 150500;10673.55;10678.85;10673.55;10675.00;11775
20190129 150600;10676.10;10686.95;10675.00;10686.95;31950
20190129 150700;10687.10;10695.00;10686.30;10692.00;80925
20190129 150800;10692.00;10700.15;10691.40;10695.00;72300
20190129 150900;10694.95;10694.95;10684.00;10685.00;14625
20190129 151000;10685.00;10685.00;10671.00;10675.80;47025
20190129 151100;10675.80;10680.20;10673.15;10680.20;57975
20190129 151200;10680.20;10685.60;10677.70;10684.45;9450
20190129 151300;10684.45;10684.45;10677.60;10681.00;4800
20190129 151400;10681.00;10684.30;10675.00;10681.35;15075
20190129 151500;10680.10;10681.60;10678.00;10678.00;55950
